Category,Name,Density [kg/m^3],Poisson's Ratio,Young's Modulus [Pa],Tensile Yield Strength [Pa],Ultimate Tensile Strength [Pa],Compressive Yield Strength [Pa],Ultimate Compressive Strength [Pa]
Ceramic,Concrete,2300,0.2,30000000000,0,0,87000000,0
Composite,Carbon fiber epoxy (61%),1600,0,0,0,0,0,0
Composite,Foamcore,663,0,0,0,0,0,0
Composite,FR-4,1850,0,0,0,0,0,0
Composite,Glass-filled epoxy (35%),1900,0,0,0,0,0,0
Composite,Glass-filled nylon (35%),1600,0,0,0,0,0,0
Composite,Glass-filled polyester (35%),2000,0,0,0,0,0,0
Composite,Kevlar epoxy (53%),1350,0,0,0,0,0,0
Glass,Glass,2500,0,0,0,0,0,0
Metal,Aluminum - 356,2685,0.33,70300000000,138000000,207000000,0,0
Metal,Aluminum - 380,2768,0.33,71000000000,159000000,317000000,0,0
Metal,Aluminum - 1060,2700,0.33,68900000000,62000000,82700000,0,0
Metal,Aluminum - 1100,2720,0.33,68900000000,75000000,130000000,0,0
Metal,Aluminum - 2024,2780,0.33,72400000000,435000000,407000000,0,0
Metal,Aluminum - 5052,2680,0.33,70300000000,241000000,276000000,0,0
Metal,Aluminum - 6061,2720,0.35,68900000000,241000000,290000000,0,0
Metal,Aluminum - 7050,2800,0.33,71700000000,469000000,524000000,0,0
Metal,Aluminum - 7075,2810,0.33,71700000000,455000000,531000000,0,0
Metal,Aluminum - 7178,2830,0.33,71700000000,538000000,607000000,530000000,0
Metal,Aluminium - 6063,2700,0.33,68900000000,214000000,241000000,276000000,0
Metal,Aluminium - 5251,2690,0.33,68900000000,165000000,210000000,0,0
Metal,Brass 60/40,8520,0.35,105000000000,140000000,360000000,0,0
Metal,Lead,11349,0.42,14000000000,5500000,18000000,0,0
Metal,Phosphor bronze,8900,0.34,110000000000,165000000,379000000,0,0
Metal,Stainless Steel 304,8030,0.29,193000000000,207000000,517000000,0,0
Metal,Stainless Steel 316,7990,0.29,193000000000,207000000,517000000,0,0
Metal,Stainless Steel 440C,7800,0.283,204000000000,1900000000,1970000000,0,0
Metal,Steel Class 8.8,7850,0.3,210000000000,640000000,800000000,0,0
Metal,Steel Class 10.9,7850,0.3,210000000000,940000000,1040000000,0,0
Metal,Steel Class 12.9,7850,0.3,210000000000,1100000000,1220000000,0,0
Metal,Steel 4340,7850,0.29,192000000000,470000000,745000000,0,0
Metal,Steel 1010,7870,0.29,200000000000,180000000,325000000,0,0
Metal,Steel 4130,7850,0.29,205000000000,435000000,670000000,0,0
Metal,Steel 8620,7850,0.29,205000000000,393000000,669000000,0,0
Metal,EN8 -080M40,7850,0.29,200000000000,415000000,620000000,0,0
Metal,EN8D -080A42,7850,0.29,210000000000,310000000,610000000,0,0
Metal,CR4,7800,0.29,200000000000,220000000,310000000,0,0
Metal,C45,7850,0.29,210000000000,310000000,610000000,0,0
Metal,EN3B - 070M20,7850,0.29,210000000000,215000000,430000000,0,0
Metal,EN19,7850,0.29,2100000000000,550000000,850000000,600000000,900000000
Metal,EN24T -817M40T,7850,0.29,210000000000,650000000,850000000,0,0
Metal,EN24Z -817M40Z,7850,0.29,210000000000,1235000000,1550000000,0,0
Metal,S275JR (1.0044),7800,0.29,200000000000,275000000,560000000,0,0
Metal,S235JR (1.0037),7800,0.29,200000000000,235000000,470000000,0,0
Metal,S355JR (1.0045),7800,0.29,200000000000,355000000,630000000,0,0
Metal,E220 (1.0215),7800,0.29,200000000000,220000000,310000000,0,0
Plastic,ABS,1052,0.364,2310000000,44800000,40400000,0,0
Plastic,Acetal (Delrin),1356,0.363,2660000000,59500000,57600000,60100000,0
Plastic,Acrylic,1163,0.35,2940000000,60500000,64900000,0,0
Plastic,GPPS,1041,0.4,2900000000,32500000,44000000,90000000,0
Plastic,HDPE (High-Density Polyethylene),941,0.46,959000000,25900000,26900000,0,0
Plastic,Nylon,1180,0.39,2950000000,71700000,75200000,66800000,0
Plastic,PET,1380,0.37,3140000000,61800000,44400000,50600000,0
Plastic,PETG,1301,0.4,2590000000,47300000,40600000,0,0
Plastic,Phenolic,1600,0.24,7000000000,0,53200000,206000000,0
Plastic,Polycarbonate,1190,0.37,2360000000,63300000,66200000,65700000,0
Plastic,Polyester,1390,0.3,4030000000,0,51800000,0,0
Plastic,Polypropylene,913,0.43,1470000000,32600000,74600000,10000000,0
Plastic,"Polystyrene, High-Impact",1100,0.41,1900000000,19300000,32000000,0,0
Plastic,Polyurethane,1200,0.41,167000000,12900000,23600000,414000,0
Plastic,PTFE,2200,0.46,599000000,131000000,25600000,7310000,0
Plastic,PVC,1467,0.4,2800000000,42600000,23400000,0,0
Plastic,Teflon,2159,0.46,599000000,131000000,25600000,7310000,0
Plastic,PLA,1250,0.39,2340000000,40000000,64500000,0,0
Plastic,PC/ABS,1100,0.353,2640000000,56400000,54700000,0,0
Plastic,ABS M30,1040,0.35,2300000000,30000000,25000000,90000000,0
Rubber,Neoprene,1384,0,0,0,0,0,0
Rubber,Silicone Rubber,1100,0,0,0,0,0,0
Wood,Balsa,160,0,0,0,0,0,0
"Wood, Composite",Medium Density Fiberboard (MDF),710,0,0,0,0,0,0
"Wood, Composite",High Density Fiberboard (HDF),880,0,0,0,0,0,0
Plastic,UHMWPE,945,0,700000000,21700000,57200000,16660000,0
Pastic,Expanded Polystyrene,40,0.085,484000000,48000,450000,468000,0
Wood,Plywood,700,0,0,0,0,0,0
